Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC2,22/09/18,Stenhousemuir,Arbroath,1,2,A,1,0,H,M Roncone,7,14,4,6,12,8,2,9,1,2,0,0,3.6,3.8,1.9,3.3,3.75,1.85,3.6,3.75,1.8,3.9,4.03,1.85,3.6,4,1.88,3.75,4,1.87,37,3.9,3.54,4.03,3.79,1.95,1.84,33,1.55,1.51,2.52,2.42,14,0.5,2.02,1.94,1.9,1.84,4.7,3.75,1.78
SC2,22/09/18,Stranraer,East Fife,0,2,A,0,0,D,D Dickinson,11,12,2,5,9,10,5,5,2,1,0,0,2.25,3.6,2.87,2.3,3.4,2.6,2.2,3.35,2.85,2.34,3.6,2.95,2.3,3.6,2.88,2.38,3.6,2.9,37,2.38,2.27,3.6,3.43,2.95,2.8,33,1.81,1.73,2.1,2.02,16,-0.25,2.05,1.98,1.85,1.79,2.62,3.56,2.62
SC2,29/09/18,Arbroath,Airdrie Utd,3,1,H,0,1,A,D Munro,15,8,9,4,11,12,6,7,2,2,0,0,1.66,4,4.75,1.72,3.8,3.75,1.65,3.9,4.35,1.66,4.26,4.65,1.73,4.2,4.2,1.7,4.1,4.6,35,1.74,1.66,4.26,3.95,5.5,4.38,31,1.65,1.58,2.38,2.25,16,-0.5,1.75,1.67,2.28,2.13,1.63,4.5,4.8
SC2,29/09/18,Brechin,Stranraer,1,1,D,1,0,H,J McKendrick,17,6,6,2,10,14,5,5,0,4,0,0,2.1,3.6,3.25,2,3.6,3,2.1,3.55,2.95,2.19,3.85,3.05,2.1,3.75,3.1,2.15,3.7,3.2,35,2.19,2.1,3.94,3.59,3.3,2.99,31,1.7,1.64,2.37,2.15,15,-0.5,2.17,2.09,1.75,1.69,2.24,3.68,3.13
SC2,29/09/18,Dumbarton,Raith Rvs,1,5,A,0,4,A,S Reid,7,17,3,6,13,8,5,6,3,3,0,0,2.5,3.4,2.7,2.25,3.7,2.5,2.45,3.5,2.5,2.52,3.91,2.56,2.5,3.6,2.6,2.5,3.6,2.7,35,2.52,2.43,3.91,3.54,2.7,2.52,30,1.72,1.67,2.2,2.11,16,0,1.92,1.85,2,1.92,2.85,3.64,2.43
SC2,29/09/18,East Fife,Stenhousemuir,2,0,H,1,0,H,G Ross,10,3,6,1,8,11,7,2,1,2,0,0,1.9,3.6,3.75,1.83,3.7,3.4,1.9,3.6,3.45,1.95,3.9,3.62,1.85,4,3.6,1.95,3.8,3.6,35,2.05,1.91,4,3.66,3.75,3.4,30,1.7,1.64,2.25,2.15,16,-0.5,2,1.92,1.92,1.85,2.03,3.85,3.48
SC2,29/09/18,Montrose,Forfar,2,2,D,1,2,A,C Steven,11,12,3,6,12,15,7,4,2,3,0,0,2.25,3.6,2.9,2.15,3.6,2.75,2.3,3.3,2.75,2.45,3.48,2.87,2.35,3.5,2.9,2.3,3.6,3,34,2.45,2.28,3.6,3.4,3,2.79,30,1.86,1.77,2.05,1.96,16,-0.25,2.11,1.98,1.87,1.8,2.56,3.44,2.82
SC2,06/10/18,Airdrie Utd,Brechin,1,3,A,1,1,D,C Steven,8,10,3,7,15,19,4,5,2,1,0,0,2.14,3.75,3,2.05,3.3,3.1,2.15,3.45,2.9,2.25,3.78,2.98,2.2,3.7,3,2.2,3.6,3.13,33,2.25,2.15,3.78,3.52,3.13,2.94,29,1.75,1.69,2.18,2.05,13,-0.25,1.97,1.89,1.94,1.88,2.14,3.53,3.49
SC2,06/10/18,Forfar,East Fife,0,4,A,0,3,A,A Newlands,12,11,3,7,7,5,8,4,1,0,0,0,2.75,3.25,2.54,2.5,3.4,2.4,2.65,3.35,2.35,2.82,3.71,2.39,2.7,3.6,2.45,2.75,3.5,2.5,33,2.82,2.67,3.71,3.4,2.58,2.39,30,1.9,1.81,1.98,1.91,13,0,2.1,1.99,1.84,1.79,2.62,3.56,2.67
SC2,06/10/18,Raith Rvs,Arbroath,1,1,D,0,0,D,C Napier,5,8,2,2,8,7,4,8,2,2,0,0,2.3,3.4,3,2.25,3.3,2.75,2.3,3.3,2.75,2.42,3.48,2.92,2.4,3.5,2.8,2.38,3.5,2.9,34,2.42,2.31,3.5,3.34,3,2.79,29,1.76,1.72,2.09,2.02,14,-0.25,2.11,2.01,1.84,1.77,2.4,3.57,2.95
