Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC3,01/09/18,Queens Park,Cowdenbeath,0,0,D,0,0,D,J McKendrick,13,4,7,2,8,13,10,1,1,1,0,0,1.75,3.8,4.33,1.8,3.7,3.5,1.7,3.7,4.05,1.79,4.14,4.11,1.75,4.2,4,1.75,3.9,4.5,36,1.81,1.74,4.2,3.72,4.5,4.01,30,1.84,1.74,2.07,1.98,15,-0.5,1.81,1.73,2.1,2.03,1.68,3.99,5.19
SC3,15/09/18,Berwick,Elgin,0,3,A,0,3,A,D Smith,6,4,1,3,12,14,1,5,2,2,0,0,3.25,3.6,2.1,3.1,3.3,2.05,3.15,3.2,2.1,3.36,3.46,2.23,3.2,3.4,2.2,3.25,3.4,2.25,34,3.36,3.1,3.6,3.29,2.25,2.14,32,2,1.93,1.9,1.79,16,0.25,1.96,1.89,1.94,1.87,3.98,4.1,1.85
SC3,15/09/18,Clyde,Albion Rvs,1,0,H,1,0,H,B Cook,21,2,8,0,9,11,7,0,0,4,0,0,1.25,5.75,12,1.22,5.5,9.25,1.22,5.25,9.75,1.28,5.86,11.72,1.25,6,11,1.29,6,10,37,1.29,1.23,6,5.52,12,9.7,32,1.62,1.55,2.48,2.3,19,-1.5,1.88,1.76,2.15,2.01,1.28,5.9,11.78
SC3,15/09/18,Cowdenbeath,Peterhead,2,4,A,2,1,H,G Irvine,3,9,2,7,16,18,2,5,4,2,0,0,7,4,1.5,5,3.7,1.57,5.25,3.85,1.55,5.8,4.08,1.61,5.5,4.4,1.53,6,4.33,1.53,37,7,5.45,4.4,3.99,1.61,1.52,32,1.72,1.66,2.25,2.11,20,1,1.97,1.88,2.04,1.88,6.8,4.55,1.49
SC3,15/09/18,Edinburgh City,Annan Athletic,2,1,H,1,0,H,D Lowe,10,2,6,1,14,8,9,2,4,1,0,0,2.14,3.5,3.25,2.2,3.3,2.85,2.05,3.35,3.15,2.14,3.63,3.4,2.1,3.7,3.2,2.2,3.5,3.25,37,2.2,2.1,3.7,3.41,3.4,3.1,31,1.85,1.75,2.05,1.98,19,-0.25,1.91,1.84,2.02,1.92,1.97,3.9,3.68
SC3,15/09/18,Stirling,Queens Park,1,0,H,1,0,H,L Wilson,10,6,2,1,11,13,9,2,2,2,0,0,2.8,3.4,2.4,2.6,3.3,2.35,2.7,3.35,2.3,2.9,3.6,2.42,2.88,3.6,2.3,2.88,3.6,2.38,37,2.9,2.73,3.6,3.38,2.42,2.32,32,1.77,1.7,2.15,2.06,18,0,2.13,2.04,1.77,1.73,3.16,3.99,2.13
SC3,22/09/18,Clyde,Elgin,4,1,H,3,1,H,C Napier,25,13,9,5,7,9,11,6,1,0,0,1,1.72,3.8,4.5,1.65,3.75,4.25,1.7,3.6,4.3,1.8,3.68,4.63,1.75,3.7,4.6,1.73,3.8,4.8,36,1.8,1.71,3.8,3.62,5.08,4.35,31,1.8,1.73,2.1,2,16,-0.75,2.04,1.93,1.91,1.84,1.68,3.98,5.02
SC3,22/09/18,Cowdenbeath,Albion Rvs,1,1,D,0,1,A,D Williams,10,10,4,4,12,8,8,7,1,2,0,0,1.61,3.75,5.5,1.6,3.5,5,1.6,3.7,4.85,1.66,3.93,5.32,1.65,3.9,5,1.65,3.9,5.5,36,1.66,1.6,3.93,3.73,5.5,4.92,30,1.81,1.75,2.05,1.98,17,-0.75,1.87,1.79,2.08,1.98,1.78,3.63,4.88
SC3,22/09/18,Peterhead,Berwick,1,0,H,0,0,D,S Lambie,16,4,3,2,18,12,6,1,2,0,0,0,1.22,5.5,13,1.22,5.5,9.25,1.22,5.5,9.75,1.24,6.57,11.74,1.22,6.5,11,1.22,6.5,13,36,1.29,1.22,6.57,5.75,13,10.26,31,1.5,1.48,2.65,2.51,17,-1.5,1.81,1.7,2.3,2.14,1.12,10.32,19.43
SC3,22/09/18,Queens Park,Edinburgh City,0,2,A,0,1,A,P Stuart,7,10,0,5,13,9,4,4,5,1,0,0,2.45,3.3,2.87,2.25,3.3,2.75,2.45,3.15,2.7,2.6,3.36,2.77,2.5,3.5,2.7,2.55,3.3,2.7,36,2.61,2.44,3.5,3.22,2.88,2.69,34,2.12,2.01,1.82,1.73,17,-0.25,2.3,2.11,1.75,1.68,3.26,2.96,2.51
